gene,carbon_source,fitness,overall_disruption
b2599,lac__D,-3.8505000000000003,complete
b2599,pyr,-2.0435,complete
b2599,rib__D,-4.135,complete
b2599,succ,-1.535,complete
b2599,xyl__D,-3.6100000000000003,complete
b2600,ac,-5.1594999999999995,complete
b2600,fru,-4.283,complete
b2600,glc__D,-4.54925,complete
b2600,glyc,-3.8920000000000003,complete
b2600,lac__D,-5.5395,complete
b2600,pyr,-3.7115,complete
b2600,rib__D,-4.2005,complete
b2600,succ,-3.744,complete
b2600,xyl__D,-4.157,complete
b2601,ac,-2.133,primary_partial
b2601,fru,-0.901,primary_partial
b2601,glc__D,-0.824,primary_partial
b2601,glyc,-0.9045000000000001,primary_partial
b2601,lac__D,-2.2195,primary_partial
b2601,pyr,-1.2755,primary_partial
b2601,rib__D,-1.33,primary_partial
b2601,succ,-0.85,primary_partial
b2601,xyl__D,-0.8660000000000001,primary_partial
b2662,ac,0.099,primary_partial
b2662,fru,-0.023,primary_partial
b2662,glc__D,0.05650000000000001,primary_partial
b2662,glyc,-0.023,primary_partial
b2662,lac__D,0.1065,primary_partial
b2662,pyr,-0.058,primary_partial
b2662,rib__D,0.037000000000000005,primary_partial
b2662,succ,0.185,primary_partial
b2662,xyl__D,0.07100000000000001,primary_partial
b2750,ac,-4.214,complete
b2750,fru,-3.7015000000000002,complete
b2750,glc__D,-3.7,complete
b2750,glyc,-3.942,complete
b2750,lac__D,-3.7665,complete
b2750,pyr,-2.9255,complete
b2750,rib__D,-3.363,complete
b2750,succ,-4.0215,complete
b2750,xyl__D,-3.9025,complete
b2751,ac,-2.795,complete
b2751,fru,-2.7645,complete
b2751,glc__D,-2.99975,complete
b2751,glyc,-2.8034999999999997,complete
b2751,lac__D,-1.82,complete
b2751,pyr,-1.024,complete
b2751,rib__D,-2.911,complete
b2751,succ,-3.6239999999999997,complete
b2751,xyl__D,-3.3209999999999997,complete
b2752,ac,-3.0309999999999997,complete
b2752,fru,-2.7755,complete
b2752,glc__D,-3.57325,complete
b2752,glyc,-3.1734999999999998,complete
b2752,lac__D,-2.083,complete
b2752,pyr,-1.5655000000000001,complete
b2752,rib__D,-3.203,complete
b2752,succ,-4.393,complete
b2752,xyl__D,-3.2855,complete
b2762,ac,-3.886,primary_full
b2762,fru,-4.0895,primary_full
b2762,glc__D,-3.741,primary_full
b2762,glyc,-4.5705,primary_full
b2762,lac__D,-3.8625,primary_full
b2762,pyr,-3.5885,primary_full
b2762,rib__D,-3.662,primary_full
b2762,succ,-4.4135,primary_full
b2762,xyl__D,-4.2035,primary_full
b2763,ac,-3.374,complete
b2763,fru,-3.0564999999999998,complete
b2763,glc__D,-2.95275,complete
b2763,glyc,-3.5665,complete
b2763,lac__D,-3.0315000000000003,complete
b2763,pyr,-2.1079999999999997,complete
b2763,rib__D,-3.401,complete
b2763,succ,-3.8120000000000003,complete
b2763,xyl__D,-3.3335,complete
b2764,ac,-3.3725,complete
b2764,fru,-3.556,complete
b2764,glc__D,-3.35575,complete
b2764,glyc,-3.444,complete
b2764,lac__D,-3.3975,complete
b2764,pyr,-2.3440000000000003,complete
b2764,rib__D,-3.371,complete
b2764,succ,-3.583,complete
b2764,xyl__D,-2.981,complete
b2818,ac,-4.031499999999999,complete
b2818,fru,-2.886,complete
b2818,glc__D,-3.63675,complete
b2818,glyc,-3.0250000000000004,complete
b2818,lac__D,-3.5605,complete
