"reaction_id","direction","value","par_type","unit","condition","notes"
"AAMYLpp","fwd",4.28279149867843,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"AB6PGH","fwd",3.90970296205419,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ABTA","fwd",6.15294954220008,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ABUTD","fwd",2.70251531041643,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACCT","fwd",2.84661477897821,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT1r","fwd",14.2511893587455,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT1r","bwd",3.66345172518016,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT2r","fwd",10.8281518822468,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT2r","bwd",3.63175248542468,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT3r","fwd",8.93998135567867,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT3r","bwd",2.69789823314096,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT4r","fwd",11.0883059993983,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT4r","bwd",3.6432100854194,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT5r","fwd",8.93998135567867,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT5r","bwd",2.69789823314096,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT6r","fwd",9.71210663005166,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT6r","bwd",3.64563839303292,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT7r","fwd",9.08613417685483,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT7r","bwd",2.96791376187584,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT8r","fwd",2.69789823314096,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACACT8r","bwd",3.68662419273378,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACALD","fwd",16.370943793886,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACALD","bwd",8.19452345164255,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACANTHAT","fwd",3.40781273994939,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACBIPGT","fwd",2.78666835932979,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACCOAC","fwd",3.95537952771034,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
"ACCOAL","fwd",7.8751321806322,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model"
